LOCATION,NAME,LASTSEEN,DAYS
36308,384 Gooch 121B Room Door,,
37938,Bice 102A Room Door,10-Feb-19,14
37938,Bice 102A Room Door,,
38003,Bice 301A Room Door,22-Feb-19,2
38032,Bice 308A Room Door,26-Jan-19,29
38032,Bice 308A Room Door,,
38052,Bice 404B Room Door,23-Feb-19,1
38052,Bice 404B Room Door,,
39091,Lambeth 453 Room Door 2B,12-Feb-19,12
39091,Lambeth 453 Room Door 2B,,
39286,Lambeth 460 Room Door 3B,8-Feb-19,16
39286,Lambeth 460 Room Door 3B,,
39296,Lambeth 460 Room Door 6B,13-Feb-19,11
39296,Lambeth 460 Room Door 6B,,
40013,385 Dillard 132B Room Door,15-Feb-19,9
40013,385 Dillard 132B Room Door,,
40548,Boyd 831 Room Door 1B,20-Jan-19,35
40548,Boyd 831 Room Door 1B,,
40586,Boyd 832 ITC Closet Door,21-Jan-19,34
40586,Boyd 832 ITC Closet Door,,
40620,Snavley 834 Room Door 3B,18-Jan-19,37
40620,Snavley 834 Room Door 3B,,
40700,Ribble 837 Room Door 4B,30-Jan-19,25
40700,Ribble 837 Room Door 4B,,
40745,Ribble 839 Room Door 1B,31-Jan-19,24
40745,Ribble 839 Room Door 1B,,
41058,Mallet 112B HC O/S Suite Door,19-Feb-19,5
41332,Norris 122 1st FL Elect Closet,23-Feb-19,1
41332,Norris 122 1st FL Elect Closet,,
41436,Weedon 056 Grd FL Storage Room,30-Jan-19,25
41436,Weedon 056 Grd FL Storage Room,,
41516,Weedon 280 2nd FL Elect Closet,4-Feb-19,20
41516,Weedon 280 2nd FL Elect Closet,,
41587,Whyburn 022 Grd FLElect Closet,8-Feb-19,16
41587,Whyburn 022 Grd FLElect Closet,,
42276,Yen B010A Housekeeping Closet,23-Feb-19,1
42276,Yen B010A Housekeeping Closet,,
42329,Yen 221 Telecom/Attic Access,14-Feb-19,10
42329,Yen 221 Telecom/Attic Access,,
