FixtureTypeID	FixtureTypeDesc	InLivingRoom	InKitchen	InBathroom	InBedroom_1	InBedroom_2	InBedroom_3
1	Walls	1	1	1	1	1	1
2	Floors	1	1	1	1	1	1
3	Doors	1	1	1	1	1	1
4	Lights	1	1	1	1	1	1
5	Windows	1	1	1	0	0	0
6	Stove	0	1	0	0	0	0
7	Kitchen Sink	0	1	0	0	0	0
8	Bathroom Sink	0	0	1	0	0	0
9	AC Unit	1	0	0	0	0	0
10	Heater	1	0	0	0	0	0
11	Shower	0	0	1	0	0	0
12	Bath Tub	0	0	1	0	0	0
13	Toilet	0	0	1	0	0	0
14	Mirror	0	0	1	1	1	1
15	Sliding Door	0	1	0	0	0	0
16	Blinds	1	1	1	1	1	1
18	Cabinets	0	1	0	0	0	0
19	Fire Alarm	1	1	1	0	0	0
20	Fire Extinguisher	0	1	0	0	0	0
21	Countertop	0	1	0	0	0	0
22	Exhaust Fan Interior	0	1	0	0	0	0
23	Exhaust Fan Exterior	0	1	0	0	0	0
24	Refrigerator	0	1	0	0	0	0
25	DinningSet	0	1	0	0	0	0
26	Smart Burner	0	1	0	0	0	0
